,artists,genres,Artist Popularity
0,"""Cats"" 1981 Original London Cast","[""'show tunes'"", ""'ensemble'""]",38
1,"""Cats"" 1983 Broadway Cast","[""'broadway'"", ""'ensemble'""]",33
2,"""Fiddler On The Roof” Motion Picture Chorus","[""'movie tunes'"", ""'chorus'""]",34
3,"""Fiddler On The Roof” Motion Picture Orchestra","[""'movie tunes'"", ""'orchestra'""]",34
4,"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast","[""'ensemble'""]",42
5,"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast","[""'ensemble'""]",34
6,"""Weird Al"" Yankovic","[""'antiviral pop'"", ""'comedy rock'"", ""'comic'"", ""'parody'""]",33
7,$NOT,"[""'east coast hip hop'"", ""'gangster rap'"", ""'hardcore hip hop'"", ""'hip hop'"", ""'rap'""]",64
8,$uicideBoy$,"[""'dark trap'"", ""'new orleans rap'"", ""'underground hip hop'""]",61
9,'Be More Chill' Ensemble,"[""'ensemble'""]",52
10,'In The Heights' Original Broadway Company,"[""'broadway'"", ""'show tunes'""]",46
11,'Legally Blonde' Ensemble,"[""'broadway'"", ""'hollywood'"", ""'show tunes'"", ""'ensemble'""]",48
12,'Legally Blonde' Greek Chorus,"[""'show tunes'"", ""'chorus'""]",49
13,'Little Women' Original Broadway Cast,"[""'broadway'"", ""'ensemble'""]",42
14,'Til Tuesday,"[""'boston rock'"", ""'dance rock'"", ""'new romantic'"", ""'new wave'"", ""'new wave pop'""]",35
15,((( O ))),"[""'latin'"", ""'puerto rican pop'"", ""'reggaeton'"", ""'trap latino'""]",66
16,(G)I-DLE,"[""'k-pop'"", ""'k-pop girl group'""]",74
17,(Hed) P.E.,"[""'alternative metal'"", ""'industrial metal'"", ""'nu metal'"", ""'post-grunge'"", ""'rap metal'"", ""'rap rock'""]",45
18,*NSYNC,"[""'boy band'"", ""'dance pop'"", ""'europop'"", ""'pop'""]",45
19,-,"[""'alternative pop rock'"", ""'neon pop punk'"", ""'pop emo'"", ""'pop punk'"", ""'texas pop punk'""]",55
20,...And You Will Know Us by the Trail of Dead,"[""'alternative rock'"", ""'dance-punk'"", ""'indie rock'"", ""'lo-fi'"", ""'modern rock'"", ""'post-hardcore'""]",35
21,03 Greedo,"[""'cali rap'"", ""'melodic rap'"", ""'trap'"", ""'underground hip hop'"", ""'vapor trap'""]",59
22,070 Shake,"[""'alternative r&b'"", ""'indie r&b'"", ""'new jersey rap'""]",63
23,10 Ft. Ganja Plant,"[""'dub'"", ""'east coast reggae'"", ""'reggae'"", ""'reggae rock'"", ""'roots reggae'""]",48
24,10 Years,"[""'alternative metal'"", ""'christian rock'"", ""'nu metal'"", ""'post-grunge'"", ""'rap rock'""]",47
25,"10,000 Maniacs","[""'dance rock'"", ""'folk'"", ""'lilith'"", ""'new wave pop'"", ""'pop rock'""]",36
26,100 gecs,"[""'art pop'"", ""'escape room'"", ""'hyperpop'""]",63
27,101 Strings Orchestra,"[""'adult standards'"", ""'ballroom'"", ""'easy listening'"", ""'lounge'"", ""'orchestra'""]",26
28,10cc,"[""'album rock'"", ""'art rock'"", ""'classic rock'"", ""'classic uk pop'"", ""'dance rock'"", ""'folk rock'"", ""'glam rock'"", ""'mellow gold'"", ""'rock'"", ""'soft rock'"", ""'symphonic rock'"", ""'yacht rock'""]",41
29,11/5,"[""'dirty texas rap'"", ""'g funk'"", ""'hyphy'"", ""'west coast trap'""]",37
30,112,"[""'atl hip hop'"", ""'boy band'"", ""'dance pop'"", ""'gangster rap'"", ""'hip pop'"", ""'new jack swing'"", ""'pop rap'"", ""'r&b'"", ""'rap'"", ""'southern hip hop'"", ""'urban contemporary'""]",48
31,11:11,"[""'atl hip hop'"", ""'boy band'"", ""'dance pop'"", ""'gangster rap'"", ""'hip pop'"", ""'new jack swing'"", ""'pop rap'"", ""'r&b'"", ""'rap'"", ""'southern hip hop'"", ""'urban contemporary'""]",57
32,12 Stones,"[""'alternative metal'"", ""'christian alternative rock'"", ""'christian hard rock'"", ""'christian rock'"", ""'nu metal'"", ""'post-grunge'"", ""'rap rock'""]",50
33,1776 Ensemble,"[""'ensemble'""]",22
34,1776 Orchestra,"[""'orchestra'""]",19
35,1788-L,"[""'brostep'"", ""'edm'"", ""'electro house'"", ""'zapstep'""]",46
36,18 Carat Affair,"[""'chillwave'"", ""'future funk'"", ""'hardvapour'"", ""'vaporwave'""]",48
37,1910 Fruitgum Company,"[""'brill building pop'"", ""'bubblegum pop'"", ""'classic garage rock'"", ""'folk rock'"", ""'merseybeat'""]",24
38,1986 Omega Tribe,"[""'future funk'"", ""'japanese city pop'""]",37
39,1way Frank,"[""'florida rap'""]",56
40,2 Brothers On The 4th Floor,"[""'bubblegum dance'"", ""'eurodance'"", ""'europop'"", ""'happy hardcore'"", ""'hip house'""]",62
41,2 Chainz,"[""'atl hip hop'"", ""'gangster rap'"", ""'hip hop'"", ""'pop rap'"", ""'rap'"", ""'southern hip hop'"", ""'trap'""]",57
42,2 In A Room,"[""'hip house'"", ""'latin house'"", ""'vogue'""]",29
43,2 LIVE CREW,"[""'electro'"", ""'gangster rap'"", ""'hip hop'"", ""'hip house'"", ""'miami bass'"", ""'miami hip hop'"", ""'old school hip hop'"", ""'rap'""]",36
44,2 Pistols,"[""'dirty south rap'"", ""'pop rap'"", ""'southern hip hop'"", ""'trap'""]",52
45,2 Unlimited,"[""'bubblegum dance'"", ""'eurodance'"", ""'europop'"", ""'hip house'""]",49
46,20 Fingers,"[""'eurodance'"", ""'hip house'""]",50
47,20/20,"[""'atl hip hop'"", ""'dirty south rap'"", ""'southern hip hop'"", ""'trap'""]",24
48,2002,"[""'healing'"", ""'new age'""]",47
49,20th Century Fox Studio Orchestra,"[""'orchestra'""]",0
50,21 Savage,"[""'atl hip hop'"", ""'rap'"", ""'trap'""]",66
51,22Gz,"[""'nyc rap'""]",70
52,24 Horas,"[""'bachata'"", ""'latin'"", ""'tropical'""]",46
53,24hrs,"[""'trap'"", ""'trap soul'"", ""'underground hip hop'"", ""'vapor trap'""]",67
54,24kGoldn,"[""'cali rap'"", ""'pop rap'""]",69
55,27CLUB,"[""'emo rap'""]",70
